id,tested_positive
218,10.832993
219,10.535252
220,15.822195
221,9.13847
222,14.831089
223,13.507313
224,24.636797
225,20.937225
226,14.69183
227,7.0850263
228,10.574404
229,33.090828
230,16.642107
231,7.1031413
232,14.077112
233,21.579174
234,10.123333
235,32.551376
236,19.856117
237,20.712408
238,20.817854
239,31.502302
240,12.579699
241,27.946672
242,29.027664
243,29.179993
244,12.828899
245,10.847305
246,15.230389
247,27.726084
248,19.86366
249,12.356785
250,22.288313
251,16.070566
252,20.896524
253,11.160265
254,12.646133
255,10.075718
256,6.251841
257,20.111237
258,14.93391
259,5.4008803
260,13.966082
261,2.9100957
262,5.8478556
263,21.65053
264,15.2591305
265,5.90014
266,25.112036
267,26.376661
268,7.2239785
269,12.672638
270,14.659985
271,7.791347
272,20.617804
273,11.322912
274,8.195561
275,17.189768
276,20.492725
277,8.7414665
278,15.359207
279,17.72574
280,21.574036
281,20.545013
282,18.206507
283,25.29954
284,17.843838
285,21.745584
286,22.403402
287,29.162987
288,5.602659
289,19.745523
290,13.132784
291,17.893337
292,3.7658129
293,4.1397986
294,22.914719
295,15.403069
296,5.687922
297,23.276049
298,11.276861
299,10.694397
300,12.706833
301,21.8561
302,10.354147
303,19.724154
304,13.0806675
305,18.544462
306,22.108408
307,30.193619
308,13.320618
309,12.110889
310,11.129795
311,24.435883
312,9.379028
313,24.381117
314,18.789843
315,16.17047
316,28.677393
317,18.851278
318,19.057878
319,16.611233
320,3.5167615
321,6.592669
322,26.169264
323,19.160921
324,8.094557
325,19.587723
326,3.655923
327,24.775988
328,19.055174
329,25.082703
330,9.782297
331,24.950968
332,13.037138
333,5.4220734
334,12.500107
335,13.081692
336,24.560867
337,9.012959
338,10.492218
339,22.70305
340,14.435667
341,9.383129
342,21.33296
343,15.445343
344,4.6089134
345,19.368708
346,28.35789
347,22.88764
348,19.369965
349,18.177076
350,8.462549
351,23.485918
352,17.719004
353,14.814781
354,6.4202704
355,18.447758
356,23.059631
357,18.429108
358,23.624575
359,15.527554
360,6.2769737
361,19.789
362,8.873011
363,14.16016
364,18.99188
365,33.90204
366,16.364786
367,15.768875
368,6.528641
369,14.400398
370,17.265268
371,16.45227
372,17.948881
373,12.011658
374,4.0113063
375,14.154158
376,8.631399
377,10.167332
378,16.679836
379,20.055943
380,26.890768
381,15.319252
382,10.72324
383,21.900564
384,4.2306514
385,14.973818
386,16.54694
387,17.123173
388,15.347582
389,16.150324
390,30.66555
391,12.215847
392,29.341558
393,18.156399
394,8.650518
395,15.572878
396,29.3303
397,19.387552
398,23.05459
399,13.488653
400,15.68491
401,19.277803
402,7.1659627
403,31.467142
404,32.587955
405,12.064901
406,9.147774
407,24.60573
408,13.060234
409,17.689983
410,19.601435
411,7.46549
412,25.372183
413,12.9970875
414,8.791743
415,18.892408
416,20.595663
417,25.349665
418,25.733427
419,10.616171
420,17.309675
421,4.0544567
422,8.530405
423,11.724775
424,21.221895
425,14.204159
426,18.182484
427,9.148202
428,32.981728
429,22.993292
430,11.1836605
431,19.772533
432,16.661505
433,14.260996
434,7.4995036
435,22.246357
436,34.27363
437,13.607992
438,4.1632667
439,3.573372
440,7.4080358
441,5.715177
442,21.07763
443,19.750723
444,18.994772
445,4.0660863
446,3.7533512
447,14.613115
448,24.899462
449,24.295523
450,15.717474
451,9.235655
452,28.012278
453,14.41329
454,12.54838
455,10.296822
456,24.446913
457,17.715925
458,21.00671
459,5.8970013
460,21.947016
461,9.379884
462,15.377905
463,16.261324
464,7.368817
465,10.467073
466,9.056097
467,8.063465
468,11.256138
469,24.030485
470,18.547321
471,12.307381
472,24.159128
473,10.964849
474,14.707325
475,6.9480586
476,13.524586
477,19.975708
478,23.116722
479,23.605104
480,23.76116
481,20.760958
482,27.481085
483,21.066366
484,28.027424
485,4.462996
486,19.61557
487,17.198582
488,23.737127
489,8.837904
490,13.624741
491,21.524202
492,18.813505
493,14.7308655
494,16.564392
495,16.278028
496,15.34104
497,5.152615
498,4.3859234
499,12.331402
500,14.930101
501,5.5022335
502,19.756205
503,11.806286
504,23.178043
505,25.54879
506,22.482042
507,10.942091
508,9.861483
509,17.79083
510,18.177717
511,14.561321
512,19.508936
513,10.07114
514,25.045248
515,14.385939
516,13.944559
517,14.424128
518,14.369715
519,28.550066
520,26.150023
521,16.902073
522,18.749805
523,23.6839
524,11.226339
525,32.067547
526,4.909703
527,17.336731
528,15.919485
529,9.21307
530,17.225107
531,11.027428
532,12.611076
533,13.272999
534,22.859903
535,4.525959
536,25.91408
537,9.858216
538,24.264708
539,15.444229
540,41.223606
541,13.7295475
542,19.98865
543,5.186551
544,10.341234
545,10.345747
546,6.276208
547,25.912355
548,21.04825
549,13.624014
550,12.508589
551,6.7273746
552,20.30343
553,26.810293
554,21.771416
555,5.7717953
556,14.56772
557,16.167555
558,25.596258
559,18.814863
560,11.169664
561,12.121099
562,23.067957
563,19.120577
564,24.08473
565,11.1588745
566,22.23794
567,26.518248
568,5.2388506
569,26.565832
570,13.773981
571,17.525629
572,28.854868
573,23.801237
574,4.183409
575,19.610502
576,25.447206
577,34.1385
578,18.906752
579,20.773228
580,11.890404
581,8.903347
582,12.575287
583,8.924367
584,17.137642
585,9.604124
586,32.806408
587,12.657637
588,5.708955
589,11.022684
590,12.108076
591,23.54628
592,21.183462
593,31.95302
594,29.808847
595,31.830912
596,10.278667
597,13.207571
598,23.68493
599,25.172815
600,7.3698506
601,9.50383
602,17.28165
603,19.163193
604,19.312843
605,22.9577
606,17.753113
607,29.146742
608,14.982292
609,23.602564
610,6.152247
611,16.431673
612,9.884543
613,28.409824
614,24.921886
615,10.353512
616,23.964132
617,13.400276
618,19.61078
619,10.085878
620,6.9569993
621,15.283924
622,10.3835335
623,24.462229
624,12.185833
625,26.6595
626,15.122093
627,16.97928
628,18.92741
629,9.794315
630,29.47496
631,18.566523
632,29.289827
633,25.556625
634,20.447235
635,11.000576
636,17.611887
637,11.72418
638,19.60725
639,20.281385
640,9.738867
641,11.253698
642,26.053919
643,32.36419
644,22.664862
645,28.99376
646,6.7170463
647,24.860437
648,3.9538426
649,13.177946
650,14.823481
651,17.5681
652,11.733015
653,12.771341
654,15.828123
655,15.655203
656,13.999201
657,30.694086
658,12.683815
659,4.396
660,28.479105
661,26.297579
662,8.738768
663,10.706125
664,10.555279
665,5.777573
666,24.757177
667,10.146526
668,22.189589
669,22.711428
670,11.9316635
671,6.292743
672,8.119237
673,16.326002
674,3.8500018
675,14.483255
676,22.921343
677,25.430845
678,17.344797
679,11.645487
680,15.630283
681,11.36339
682,16.775
683,20.292702
684,3.946093
685,28.635355
686,18.589285
687,14.420593
688,6.1250653
689,12.804657
690,18.361694
691,8.424719
692,15.127106
693,2.8242075
694,3.609646
695,10.575798
696,22.336084
697,30.895155
698,28.656368
699,5.426738
700,7.110659
701,2.6433866
702,19.44203
703,18.127958
704,28.916086
705,6.5947204
706,17.939426
707,5.061266
708,11.577602
709,13.376781
710,20.757452
711,8.778933
712,24.430283
713,10.803869
714,4.780565
715,3.7201738
716,9.731899
717,21.554838
718,12.76721
719,21.933111
720,8.222493
721,4.484294
722,20.430056
723,25.57247
724,7.5823293
725,19.313755
726,3.4525342
727,13.086184
728,6.985494
729,17.547058
730,8.167671
731,8.083801
732,21.606438
733,7.096315
734,21.628754
735,15.9407425
736,6.1621847
737,21.834497
738,6.8902183
739,24.911657
740,18.055597
741,17.621813
742,11.231636
743,24.843864
744,14.490948
745,13.68342
746,27.908504
747,29.061281
748,17.570126
749,8.023701
750,7.6932883
751,24.611069
752,6.597574
753,11.043406
754,20.709026
755,20.66456
756,20.27753
757,17.389854
758,11.756479
759,9.967184
760,15.408512
761,10.092274
762,5.730255
763,25.124847
764,30.432785
765,23.575895
766,20.450836
767,8.136692
768,13.125584
769,14.406431
770,17.787254
771,12.162476
772,25.126814
773,18.341135
774,5.3113003
775,10.868799
776,23.18172
777,21.693869
778,17.981472
779,13.146471
780,22.486647
781,31.433966
782,16.982975
783,20.893858
784,10.482378
785,5.853344
786,6.6174083
787,20.757877
788,22.87674
789,15.28273
790,20.233095
791,7.948869
792,13.53941
793,15.337067
794,10.625576
795,20.28722
796,13.352066
797,13.3327675
798,7.0887136
799,16.379473
800,13.2627735
801,11.88302
802,8.717928
803,11.8792
804,13.359083
805,22.254036
806,11.4442425
807,20.219847
808,21.37046
809,28.379595
810,13.683752
811,18.648882
812,14.733591
813,17.04399
814,8.172562
815,3.6390088
816,6.301186
817,15.922916
818,30.184744
819,8.095702
820,23.883535
821,15.952717
822,15.939228
823,19.202042
824,24.255774
825,4.625848
826,9.593716
827,20.260338
828,21.124063
829,15.92152
830,18.022245
831,3.8655727
832,13.05444
833,12.417923
834,13.893187
835,28.807451
836,12.798706
837,17.940985
838,21.70802
839,18.811266
840,19.84495
841,37.476322
842,32.706036
843,18.574902
844,19.539148
845,7.0635304
846,13.740957
847,17.243963
848,8.774187
849,13.336601
850,5.87337
851,6.0279365
852,6.376538
853,9.766998
854,6.874046
855,23.573027
856,22.653734
857,21.055399
858,7.8717275
859,14.02503
860,20.517603
861,20.600046
862,22.642408
863,22.41567
864,13.360458
865,6.680845
866,9.057387
867,9.606103
868,24.355787
869,24.348103
870,8.728552
871,11.632959
872,14.6168995
873,33.008095
874,28.346516
875,18.189947
876,18.948854
877,11.961386
878,18.639376
879,17.22809
880,7.679525
881,13.133335
882,9.596739
883,14.066175
884,27.671919
885,15.390974
886,30.74475
887,18.994171
888,13.823795
889,4.797003
890,31.878668
891,26.079126
892,18.241945
